Meal ID,Program ID,Day,Meal Number,Meal Name (EN),Meal Name (AR),Time,Calories,Protein (g),Carbs (g),Fat (g),Ingredients (EN),Ingredients (AR),Prep Time (min),Image URL
MP001,DP001,1,1,Protein Oatmeal,شوفان بالبروتين,07:00,350,25,45,8,"1 cup oats, 1 scoop whey, 1 tbsp honey, berries","كوب شوفان، سكوب واي، ملعقة عسل، توت",10,https://images.unsplash.com/photo-1517673400267-0251440c45dc?w=300
MP002,DP001,1,2,Grilled Chicken Salad,سلطة دجاج مشوي,12:00,400,35,20,20,"150g chicken breast, mixed greens, olive oil, vegetables","150 جرام صدر دجاج، خضار مشكلة، زيت زيتون، خضروات",20,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=300
MP003,DP001,1,3,Greek Yogurt Snack,سناك زبادي يوناني,15:00,150,15,12,5,"200g Greek yogurt, almonds, honey","200 جرام زبادي يوناني، لوز، عسل",5,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=300
MP004,DP001,1,4,Salmon with Vegetables,سلمون مع خضار,19:00,450,40,25,22,"200g salmon, broccoli, brown rice, lemon","200 جرام سلمون، بروكلي، أرز بني، ليمون",25,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=300
MP005,DP003,1,1,Mass Gainer Shake,شيك زيادة الكتلة,07:00,600,40,80,12,"2 scoops whey, banana, oats, milk, peanut butter","2 سكوب واي، موز، شوفان، حليب، زبدة فول سوداني",5,https://images.unsplash.com/photo-1553530666-ba11a7da3888?w=300
MP006,DP003,1,2,Eggs and Toast,بيض وتوست,09:30,450,25,40,22,"4 eggs, 2 whole wheat toast, avocado","4 بيضات، 2 توست قمح كامل، أفوكادو",15,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=300
MP007,DP003,1,3,Chicken Rice Bowl,طبق دجاج وأرز,12:30,650,45,70,18,"200g chicken, 1.5 cups rice, vegetables, teriyaki","200 جرام دجاج، 1.5 كوب أرز، خضار، ترياكي",25,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=300
MP008,DP003,1,4,Pre-Workout Snack,سناك قبل التمرين,16:00,300,15,50,5,"Rice cakes, banana, honey","كيك الأرز، موز، عسل",5,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=300
MP009,DP003,1,5,Post-Workout Meal,وجبة بعد التمرين,19:00,700,50,80,20,"250g beef, sweet potato, green beans","250 جرام لحم بقر، بطاطا حلوة، فاصوليا خضراء",30,https://images.unsplash.com/photo-1558030006-450675393462?w=300
MP010,DP006,1,1,Keto Breakfast,فطور كيتو,08:00,500,25,5,42,"3 eggs, bacon, avocado, cheese","3 بيضات، لحم مقدد، أفوكادو، جبنة",15,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=300
MP011,DP006,1,2,Keto Lunch,غداء كيتو,13:00,600,40,8,48,"Grilled salmon, Caesar salad (no croutons), olive oil","سلمون مشوي، سلطة سيزر (بدون خبز)، زيت زيتون",20,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=300
MP012,DP006,1,3,Keto Dinner,عشاء كيتو,19:00,550,35,10,42,"Ribeye steak, asparagus, butter, mushrooms","ستيك ريب آي، هليون، زبدة، فطر",25,https://images.unsplash.com/photo-1558030006-450675393462?w=300
MP013,DP008,1,1,IF First Meal,وجبة الإفطار المتأخر,12:00,800,50,80,30,"Large omelette, toast, fruit, coffee","أومليت كبير، توست، فواكه، قهوة",20,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=300
MP014,DP008,1,2,IF Second Meal,الوجبة الثانية,19:00,900,60,90,35,"Chicken stir-fry, rice, vegetables, nuts","دجاج مقلي، أرز، خضار، مكسرات",30,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=300
MP015,DP007,1,1,High Protein Breakfast,فطور عالي البروتين,07:00,400,45,30,12,"Egg whites, turkey bacon, whole wheat toast","بياض البيض، لحم ديك رومي مقدد، توست قمح كامل",15,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=300
MP016,DP007,1,2,Tuna Salad,سلطة تونا,10:00,250,35,10,8,"1 can tuna, lettuce, tomatoes, light dressing","علبة تونا، خس، طماطم، صوص خفيف",10,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=300
MP017,DP007,1,3,Chicken Breast Plate,طبق صدر دجاج,13:00,400,50,25,12,"200g chicken breast, quinoa, steamed vegetables","200 جرام صدر دجاج، كينوا، خضار مطبوخة على البخار",25,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=300
MP018,DP007,1,4,Protein Shake,شيك بروتين,16:00,200,40,5,3,"2 scoops whey, water, ice","2 سكوب واي، ماء، ثلج",5,https://images.unsplash.com/photo-1553530666-ba11a7da3888?w=300
MP019,DP007,1,5,White Fish Dinner,عشاء سمك أبيض,19:00,350,45,20,10,"200g tilapia, brown rice, asparagus","200 جرام بلطي، أرز بني، هليون",20,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=300
MP020,DP009,1,1,Mediterranean Breakfast,فطور متوسطي,08:00,400,15,50,18,"Whole wheat pita, hummus, tomatoes, cucumber, olives, feta","خبز بيتا قمح كامل، حمص، طماطم، خيار، زيتون، جبنة فيتا",10,https://images.unsplash.com/photo-1540189549336-e6e99c3679fe?w=300
MP021,DP009,1,2,Greek Salad Lunch,غداء سلطة يونانية,12:30,450,20,35,28,"Mixed greens, feta, olives, chickpeas, olive oil, lemon","خضار مشكلة، جبنة فيتا، زيتون، حمص، زيت زيتون، ليمون",15,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=300
MP022,DP009,1,3,Fruit and Nuts,فواكه ومكسرات,16:00,200,5,25,10,"Apple, walnuts, almonds","تفاحة، جوز، لوز",5,https://images.unsplash.com/photo-1571771894821-ce9b6c11b08e?w=300
MP023,DP009,1,4,Grilled Fish Mediterranean,سمك مشوي متوسطي,19:30,500,40,30,25,"Sea bass, roasted vegetables, couscous, herbs","سمك سيباس، خضار محمصة، كسكس، أعشاب",30,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=300
MP024,DP002,1,1,Lean Protein Start,بداية بروتين خفيف,07:00,300,40,15,8,"Egg whites, spinach, turkey sausage","بياض بيض، سبانخ، سجق ديك رومي",15,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=300
MP025,DP002,1,2,Green Protein Bowl,طبق البروتين الأخضر,12:00,350,40,20,12,"Chicken breast, massive salad, light vinaigrette","صدر دجاج، سلطة ضخمة، صوص خل خفيف",15,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=300
MP026,DP002,1,3,Cottage Cheese Snack,سناك جبنة قريش,15:30,150,25,8,3,"Low-fat cottage cheese, cucumber","جبنة قريش قليلة الدسم، خيار",5,https://images.unsplash.com/photo-1488477181946-6428a0291777?w=300
MP027,DP002,1,4,Lean Fish Dinner,عشاء سمك خفيف,19:00,300,40,10,10,"White fish, steamed broccoli, lemon","سمك أبيض، بروكلي على البخار، ليمون",20,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=300
